Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Apartamento,Venta,590000000.0,790000.0,4.0,3.0,2.0,1.0,78.0,78.0,Country Club-Usaquén,5.0,Bogotá
Apartamento,Arriendo,850000.0,,2.0,3.0,2.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,750000.0,,2.0,2.0,1.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,850000.0,,2.0,3.0,2.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,850000.0,,0.0,3.0,2.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Apartamento,Venta,690000000.0,480000.0,4.0,3.0,2.0,1.0,124.63,0.0,Nicolás De Federmán,5.0,Bogotá
Apartamento,Arriendo,850000.0,,2.0,3.0,2.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Apartamento,Arriendo,850000.0,,2.0,3.0,2.0,0.0,60.0,60.0,El Llano,3.0,Cúcuta
Local,Arriendo,1300000.0,,1.0,0.0,1.0,0.0,29.0,29.0,PALERMO,4.0,Bogotá
Bodega,Arriendo,3200000.0,,0.0,0.0,1.0,0.0,80.0,54.0,El Llano,3.0,Cúcuta
Bodega,Arriendo,3200000.0,,0.0,0.0,1.0,0.0,80.0,54.0,El Llano,3.0,Cúcuta
Bodega,Arriendo,3200000.0,,0.0,0.0,1.0,0.0,80.0,54.0,El Llano,3.0,Cúcuta
Apartamento,Venta,1400000000.0,2432000.0,2.0,3.0,4.0,3.0,225.296,0.0,Santa Barbara Occidental-Usaquén,5.0,Bogotá
Apartamento,Arriendo,950000.0,,0.0,3.0,2.0,1.0,50.0,50.0,TRAPICHES,3.0,Villa del rosario
Apartamento,Arriendo,900000.0,,0.0,2.0,1.0,0.0,60.0,60.0,Doce De Octubre,2.0,Los patios
Apartamento,Arriendo,1100000.0,,2.0,3.0,1.0,0.0,67.0,67.0,Doce De Octubre,2.0,Los patios
Casa,Arriendo,12000000.0,2000000.0,1.0,3.0,4.0,4.0,263.0,1371.0,Hato Grande,5.0,Sopó
Bodega,Arriendo,13000000.0,,1.0,0.0,3.0,0.0,280.0,280.0,Polo Club,3.0,Bogotá
Casa,Venta,750000000.0,,0.0,4.0,4.0,1.0,185.0,0.0,TIBASOSA,5.0,Tibasosa
Apartamento,Arriendo,1500000.0,,8.0,3.0,2.0,1.0,58.0,58.0,,3.0,Cúcuta
Apartamento,Arriendo,4500000.0,,4.0,3.0,3.0,1.0,165.0,165.0,Caobos,3.0,Cúcuta
Casa,Venta,800000000.0,237735.0,0.0,3.0,4.0,3.0,200.0,238.0,Bocono Tennis Park,5.0,Villa del rosario
Casa,Venta,142000000.0,186000.0,0.0,3.0,2.0,1.0,84.0,84.0,Villa del Rosario,3.0,Villa del rosario
Apartamento,Venta,200000000.0,53000.0,0.0,3.0,2.0,1.0,53.86,53.86,"AV. LIBERTADORES, PLAYA HERMOSA",4.0,Cúcuta
Casa,Venta,355000000.0,200000.0,0.0,3.0,4.0,2.0,120.0,60.0,LOS PATIOS - SIERRA DEL ESTE,3.0,Los patios
Apartamento,Arriendo,1550000.0,150000.0,0.0,2.0,1.0,0.0,41.0,41.0,LA SALLE,4.0,Bogotá
Casa,Venta,180000000.0,,0.0,3.0,1.0,0.0,165.0,165.0,La Cabrera,3.0,Cúcuta
,,,,,,,,,,,,
,,,,,,,,,,,,
Casa,Arriendo,2800000.0,,0.0,3.0,2.0,1.0,120.0,120.0,La Guaca,3.0,Bogotá
,,,,2.0,2.0,1.0,0.0,90.0,90.0,LA LIBERTAD -  VILLAS DE COMFANORTE,2.0,Cúcuta
Apartamento,Arriendo,1500000.0,,2.0,3.0,2.0,0.0,132.76,132.76,Barrio Blanco,4.0,Cúcuta
Casa,Venta,180000000.0,115300.0,0.0,2.0,1.0,1.0,75.0,75.0,La Parada - Villa del Rosario,3.0,Villa del rosario
Apartaestudio,Arriendo,1300000.0,,6.0,1.0,1.0,1.0,46.89,46.89,LLERAS RESTREPO,3.0,Cúcuta
Casa,Arriendo,1600000.0,,0.0,3.0,3.0,1.0,120.0,61.0,Bocono,3.0,Cúcuta
Casa,Venta,220000000.0,166000.0,0.0,3.0,3.0,1.0,58.81,50.62,Villa del Rosario,3.0,Villa del rosario
Casa,Arriendo,1290000.0,,1.0,3.0,2.0,1.0,110.0,110.0,Prados Del Este,3.0,Cúcuta
Apartamento,Arriendo,730000.0,,1.0,3.0,2.0,0.0,46.0,46.0,LOMITAS,3.0,Villa del rosario
,,,,,,,,,,,,
Casa,Arriendo,1000000.0,,1.0,3.0,2.0,0.0,80.0,80.0,Loma De Bolívar,3.0,Cúcuta
Apartamento,Venta,170000000.0,120000.0,0.0,3.0,2.0,0.0,45.58,45.58,Los Patios,2.0,Los patios
,,,,,,,,,,,,
Casa,Venta,2400000000.0,830000.0,0.0,4.0,7.0,4.0,570.0,700.0,BOCONO,6.0,Villa del rosario
Casa,Venta,320000000.0,,0.0,3.0,3.0,1.0,157.5,157.5,Niza,4.0,Cúcuta
Local,Arriendo,5500000.0,,0.0,0.0,2.0,1.0,180.0,100.0,Diagonal Santander,3.0,Cúcuta
Apartamento,Arriendo,4580000.0,374100.0,0.0,1.0,2.0,1.0,70.0,0.0,La Carolina-Usaquén,6.0,Bogotá
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Lote,Venta,200000000.0,,0.0,0.0,0.0,0.0,1.0,400.0,vereda san jorge,3.0,Zipaquirá
Apartamento,Venta,260000000.0,273900.0,0.0,2.0,1.0,1.0,54.0,54.0,RESERVA DEL LAGO,3.0,Cajicá
Apartamento,Venta,310000000.0,325900.0,3.0,2.0,1.0,1.0,63.0,63.0,RESERVA DEL LAGO,3.0,Cajicá
Apartamento,Arriendo,755000.0,145000.0,0.0,3.0,1.0,0.0,45.0,0.0,Roma,2.0,Bogotá
Lote,Venta,35000000.0,,0.0,0.0,0.0,0.0,184.0,184.0,Lomitas,3.0,Villa del rosario
,,,,,,,,,,,,
Lote,Venta,350000000.0,,0.0,0.0,0.0,0.0,0.0,4000.0,,2.0,Pamplonita
