Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Apartamento,Venta,345850000.0,430000.0,0.0,3.0,2.0,2.0,100.68,100.68,San Eduardo,4.0,Cúcuta
Casa,Venta,380000000.0,0.0,0.0,4.0,3.0,1.0,105.71,108.13,Quinta Oriental,3.0,Cúcuta
Casa,Venta,550000000.0,0.0,0.0,1.0,1.0,1.0,447.0,300.0,Latino,3.0,Cúcuta
Casa,Venta,650000000.0,0.0,0.0,1.0,1.0,1.0,300.0,300.0,Latino,3.0,Cúcuta
Casa,Venta,450000000.0,0.0,0.0,3.0,3.0,2.0,118.92,118.92,Ceiba II,4.0,Cúcuta
Apartamento,Venta,130000000.0,0.0,0.0,3.0,2.0,0.0,88.53,88.53,EL LLANO,3.0,Cúcuta
Casa,Venta,370000000.0,0.0,2.0,5.0,3.0,1.0,90.0,90.0,El Bosque,3.0,Cúcuta
Casa,Venta,280000000.0,255000.0,0.0,3.0,3.0,1.0,86.95,62.4,"Bocono, Natura",4.0,Cúcuta
Apartamento,Venta,170000000.0,233200.0,0.0,3.0,1.0,0.0,75.05,75.05,"Av. Libertadores, Gratamira",3.0,Cúcuta
Apartamento,Venta,220000000.0,0.0,0.0,3.0,2.0,1.0,57.78,57.78,Prados Del Este - Urb Pamplonita,3.0,Cúcuta
Oficina,Venta,800000000.0,0.0,0.0,0.0,2.0,0.0,215.0,215.0,Barrio Blanco,7.0,Cúcuta
Casa,Venta,480000000.0,0.0,0.0,4.0,3.0,2.0,178.6,178.6,Quinta Bosch,4.0,Cúcuta
Apartamento,Venta,180000000.0,0.0,0.0,3.0,3.0,1.0,92.0,92.0,Av. Libertadores Gratamira,3.0,Cúcuta
Apartamento,Venta,94000000.0,75000.0,0.0,2.0,1.0,0.0,43.63,43.63,ANILLO VIAL OCCIDENTAL,1.0,Cúcuta
Casa,Venta,320000000.0,184000.0,1.0,3.0,2.0,1.0,112.0,112.0,Prados del Este,4.0,Cúcuta
Apartaestudio,Venta,195000000.0,280000.0,0.0,1.0,1.0,0.0,60.0,60.0,Caobos,4.0,Cúcuta
Casa,Venta,630000000.0,0.0,0.0,8.0,5.0,0.0,197.1,197.1,Los Acacios,4.0,Cúcuta
Casa,Venta,350000000.0,0.0,0.0,6.0,4.0,1.0,119.0,119.0,Guaimaral,4.0,Cúcuta
Casa,Venta,300000000.0,0.0,2.0,6.0,3.0,1.0,104.1,104.1,Urbanización Alameda,3.0,Cúcuta
Casa,Venta,330000000.0,0.0,2.0,4.0,4.0,1.0,66.0,66.0,Bocono,3.0,Cúcuta
Casa,Venta,640000000.0,0.0,3.0,6.0,4.0,2.0,108.0,108.0,Ceiba II,4.0,Cúcuta
Oficina,Venta,75000000.0,70000.0,0.0,0.0,1.0,0.0,16.0,16.0,Colsag,4.0,Cúcuta
Casa,Venta,330000000.0,354000.0,2.0,3.0,4.0,1.0,88.0,88.0,San Luis,3.0,Cúcuta
Casa,Venta,220000000.0,50000.0,0.0,3.0,1.0,1.0,99.0,99.0,Bocono,3.0,Cúcuta
Bodega,Venta,500000000.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,El Salado,3.0,Cúcuta
Casa,Venta,1250000000.0,0.0,2.0,4.0,3.0,2.0,253.55,462.4,La Riviera,5.0,Cúcuta
Casa,Venta,240000000.0,0.0,0.0,3.0,1.0,0.0,92.16,92.16,Zulima,3.0,Cúcuta
Casa,Venta,1100000000.0,950000.0,1.0,3.0,4.0,2.0,216.69,693.0,Bocono,6.0,Cúcuta
Casa,Venta,370000000.0,0.0,0.0,6.0,2.0,2.0,90.0,90.0,Tasajero,3.0,Cúcuta
Apartaestudio,Venta,140000000.0,352000.0,0.0,1.0,1.0,1.0,42.64,42.64,Colsag,4.0,Cúcuta
Casa,Venta,270000000.0,261000.0,0.0,3.0,3.0,1.0,86.95,62.4,ANILLO VIAL -BOCONO,4.0,Cúcuta
Casa,Venta,330000000.0,0.0,2.0,5.0,5.0,1.0,183.0,90.0,San Luis,3.0,Cúcuta
Casa,Venta,195000000.0,150000.0,2.0,3.0,3.0,1.0,53.48,53.48,Villa Del Rosario,3.0,Cúcuta
Apartamento,Venta,170000000.0,200000.0,0.0,3.0,2.0,1.0,55.11,55.11,Garcia Herreros,3.0,Cúcuta
Apartamento,Venta,170000000.0,165000.0,0.0,2.0,2.0,0.0,55.11,55.11,Garcia Herreros,3.0,Cúcuta
Casa,Venta,420000000.0,354000.0,2.0,3.0,4.0,2.0,101.95,101.95,San Luis,3.0,Cúcuta
Local,Venta,150000000.0,676500.0,0.0,0.0,1.0,0.0,36.24,36.24,Centro,4.0,Cúcuta
Apartamento,Venta,190000000.0,225000.0,0.0,3.0,2.0,1.0,53.0,53.0,Av. Libertadores,3.0,Cúcuta
Casa,Venta,310000000.0,0.0,0.0,3.0,3.0,1.0,90.0,90.0,Tasajero,3.0,Cúcuta
Casa,Venta,800000000.0,0.0,0.0,7.0,4.0,1.0,197.0,257.0,El Llano,3.0,Cúcuta
Casa,Venta,450000000.0,91500.0,0.0,3.0,4.0,2.0,78.5,79.5,Quinta Oriental,4.0,Cúcuta
Casa,Venta,1200000000.0,830000.0,3.0,3.0,3.0,5.0,350.0,220.0,Variante La Floresta,2.0,Cúcuta
Casa,Venta,180000000.0,0.0,0.0,5.0,1.0,1.0,197.0,225.0,San Miguel,3.0,Cúcuta
Apartamento,Venta,300000000.0,250000.0,0.0,3.0,2.0,1.0,94.4,94.4,La Playa,4.0,Cúcuta
Casa,Venta,620000000.0,0.0,0.0,3.0,3.0,2.0,257.0,112.83,Zulima,3.0,Cúcuta
Apartamento,Venta,140000000.0,110000.0,0.0,3.0,1.0,0.0,46.11,46.11,Bocono,3.0,Cúcuta
Casa,Venta,750000000.0,0.0,3.0,5.0,4.0,2.0,126.75,126.75,Niza,3.0,Cúcuta
Lote,Venta,680000000.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,Barrio Blanco,5.0,Cúcuta
Local,Venta,750000000.0,0.0,0.0,0.0,4.0,0.0,117.0,168.0,Quinta Oriental,3.0,Cúcuta
Casa,Venta,1200000000.0,0.0,1.0,3.0,5.0,3.0,342.0,342.0,CAOBOS,5.0,Cúcuta
Casa,Venta,1680000000.0,491000.0,2.0,5.0,6.0,3.0,416.0,525.0,Bocono,4.0,Cúcuta
Casalote,Venta,3500000000.0,0.0,0.0,1.0,1.0,0.0,2120.0,2120.0,Quinta Oriental,4.0,Cúcuta
Bodega,Venta,260000000.0,0.0,0.0,0.0,0.0,0.0,352.0,352.0,San Luis,3.0,Cúcuta
Casa,Venta,160000000.0,0.0,0.0,1.0,2.0,0.0,134.0,120.0,El Contento,3.0,Cúcuta
